,importance
Bit_151,0.00033296339809300423
Bit_295,0.00033286018414281263
Bit_1744,0.00033239225651517893
Bit_588,0.00033166270713416257
Bit_341,0.00033157343282052567
Bit_1681,0.0003311663609749234
Bit_226,0.0003309224685223638
Bit_1324,0.0003306315768966219
Bit_1390,0.00033044104270483815
Bit_497,0.0003300802293144763
Bit_459,0.0003297131798563932
Bit_1445,0.0003290101828755842
Bit_1008,0.00032877846235411523
Bit_1959,0.0003279904213933887
Bit_1339,0.0003264388711194203
Bit_257,0.0003261466408444957
Bit_1617,0.0003260787409697536
Bit_1459,0.0003247199193869028
Bit_223,0.0003246037430564065
Bit_2,0.0003244715626944583
Bit_132,0.0003238157123035058
Bit_1155,0.00032350428420114895
Bit_1847,0.00032346604881972225
Bit_1956,0.0003207688459751437
Bit_973,0.00031959144107673236
Bit_682,0.0003194914597110628
Bit_1819,0.00031823178921859904
Bit_362,0.0003181409141406258
Bit_1241,0.00031772577037698354
Bit_435,0.0003176997569116949
Bit_135,0.0003174917889524658
Bit_1988,0.00031605609108088936
Bit_810,0.0003152320048613045
Bit_1660,0.00031512872360761775
Bit_1627,0.00031439544562203024
Bit_724,0.0003142413271548746
Bit_579,0.00031328661741198316
Bit_484,0.0003127551058970412
Bit_1556,0.0003124837506053643
Bit_1856,0.00031162461379919776
Bit_860,0.00031149669939441844
Bit_1036,0.0003114800607794254
Bit_871,0.0003112652873911349
Bit_1128,0.0003107510006211851
Bit_1544,0.00031007405822347706
Bit_208,0.0003098291320779088
Bit_1109,0.00030953646913651714
Bit_1184,0.0003089935076835199
Bit_210,0.00030888452068010655
Bit_1447,0.00030879098352697864
Bit_339,0.00030761052109708295
Bit_1421,0.0003072310670411719
Bit_1887,0.00030602095616525857
Bit_372,0.0003057863554422714
Bit_703,0.0003049453145237221
Bit_2036,0.0003046606364882103
Bit_630,0.0003033068201826902
Bit_845,0.0003030114853489407
Bit_1240,0.00030298160137926026
Bit_626,0.0003029491472305077
Bit_879,0.00030164507069131783
Bit_27,0.0003010814053740934
Bit_1926,0.000299957240459405
Bit_430,0.0002994411301541146
Bit_893,0.00029899987137000755
Bit_55,0.0002979501246133659
Bit_482,0.0002976557982422605
Bit_852,0.0002957956110972031
Bit_677,0.0002953763153865958
Bit_58,0.00029525418745073126
Bit_2022,0.00029460031915180894
Bit_267,0.0002938779770132708
Bit_237,0.00029383424933358647
Bit_1147,0.00029325657265983414
Bit_1578,0.0002930083453396036
Bit_1347,0.00029278865408443737
Bit_1608,0.00029272743177707227
Bit_1696,0.00029268831394480596
